Month,Ticker,ESG_Rating,ESG_Score
1,CHRS,BBB,5.6
1,CHRW,A,6.8
1,CHTR,B,2.5
1,CHX,A,6.8
1,CI,A,7.1
1,CIEN,A,6.8
1,CINF,B,1.5
1,CIT,BB,2.9
1,CKH,B,1.5
1,CL,AA,8.5
1,CLB,AA,8.2
1,CLDT,BB,3
1,CLF,BB,4.1
1,CLGX,BB,3.5
1,CLH,BBB,4.3
1,CLI,B,1.6
1,CLW,BB,3.2
1,CLX,AA,7.7
1,CMA,A,5.8
1,CMC,BBB,4.4
1,CMCSA,BB,3.9
1,CMD,BBB,4.8
1,CME,BBB,4.3
1,CMG,BBB,5.2
1,CMI,AAA,10
1,CMO,BB,3.2
1,CMP,BBB,5.7
1,CMS,AA,8.1
1,CMTL,BB,3.2
1,CNC,BBB,4.3
1,CNK,A,6.1
1,CNMD,BB,4.2
1,CNO,B,2.8
1,CNP,BB,3.6
1,CNSL,B,2.1
1,CNX,BBB,5.1
1,CNXN,B,1.7
1,COF,B,2
1,COG,B,2.3
1,COHR,A,7
1,COHU,B,1.6
1,COKE,B,1.6
1,COLB,BBB,5
1,COLM,A,6.2
1,CONE,BBB,4.4
1,COO,BBB,5.2
1,COOP,BBB,5.4
1,COP,AA,7.2
1,COR,A,6.2
1,CORE,BBB,5.6
1,CORT,BB,3.1
1,COST,BB,4.2
1,COTY,BB,3.3
1,CPB,AA,7.7
1,CPF,B,1.7
1,CPK,BBB,5.1
1,CPRI,BB,3.8
1,CPRT,A,6.7
1,CPSI,BBB,4.5
1,CPT,BBB,4.6
1,CR,BBB,5.2
1,CREE,A,6.8
1,CRI,BB,3.5
1,CRL,B,1.5
1,CRM,AAA,10
1,CRMT,BBB,4.6
1,CROX,A,6.8
1,CRS,B,1.5
1,CRUS,A,6.1
1,CRVL,BBB,5.7
1,CRY,BB,3.6
1,CSCO,A,6.8
1,CSGS,BBB,4.4
1,CSII,A,6.4
1,CSL,A,6.7
1,CSX,A,7.1
1,CTAS,BBB,4.5
1,CTB,BBB,5.2
1,CTLT,BBB,5.6
1,CTRE,B,2.2
1,CTS,A,7
1,CTSH,A,6.5
1,CTXS,A,7.1
1,CUB,AA,7.8
1,CUBI,BB,3.7
1,CUZ,BB,3.2
1,CVBF,BB,3.7
1,CVCO,BBB,4.7
1,CVGW,BB,3.7
1,CVLT,BB,4.1
1,CVS,BBB,5.71
1,CVX,BBB,5.2
1,CWT,BB,3.2
1,CXO,B,2.8
1,CXW,CCC,0
1,CYH,B,2
1,CYTK,B,1.6
1,D,A,6.4
1,DAL,A,6.3
1,DAN,BB,3.9
1,DAR,BBB,5.1
1,DBD,BB,3.2
1,DBI,BBB,4.9
1,DCI,A,5.8
